,osurl,ht_link,ht_matched,htid_count,year,title,subject_no
49,"https://explorer-api.opensyllabus.org/v1/works/47356309407922.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0195201558.json,False,0,0,,0
50,"https://explorer-api.opensyllabus.org/v1/works/7507602833448.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/9780198150718.json,True,1,['1997'],['Frogs'],0
51,"https://explorer-api.opensyllabus.org/v1/works/7791071181465.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0415467535.json,True,1,['2011'],['In other words : a coursebook on translation'],0
52,"https://explorer-api.opensyllabus.org/v1/works/33535104648128.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/9780198606413.json,False,0,0,,0
53,"https://explorer-api.opensyllabus.org/v1/works/7507602833436.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0571205801.json,False,0,0,,0
54,"https://explorer-api.opensyllabus.org/v1/works/54503134986582.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0631112413.json,True,3,['1985'],['Greek religion : archaic and classical'],0
55,"https://explorer-api.opensyllabus.org/v1/works/60971355798794.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0342377728.json,False,0,0,,0
56,"https://explorer-api.opensyllabus.org/v1/works/7559142628169.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/1794659498.json,False,0,0,,0
57,"https://explorer-api.opensyllabus.org/v1/works/48241072671307.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0195200462.json,True,1,['1978'],['Greek sculpture : the archaic period : a handbook'],0
58,"https://explorer-api.opensyllabus.org/v1/works/7507602833486.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0674992555.json,True,2,['1985'],"['The art of love, and other poems']",0
59,"https://explorer-api.opensyllabus.org/v1/works/44023414785888.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/9780805413083.json,False,0,0,,0
60,"https://explorer-api.opensyllabus.org/v1/works/7507602833447.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/9780451613974.json,False,0,0,,0
61,"https://explorer-api.opensyllabus.org/v1/works/74552042335934.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/9780451613974.json,False,0,0,,0
62,"https://explorer-api.opensyllabus.org/v1/works/41102837023308.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/013184234X.json,False,0,0,,0
63,"https://explorer-api.opensyllabus.org/v1/works/8443905959698.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0824029577.json,True,3,['1978'],['De rerum natura libri sex'],0
64,"https://explorer-api.opensyllabus.org/v1/works/36515811953395.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/9780567010223.json,False,0,0,,0
65,"https://explorer-api.opensyllabus.org/v1/works/7507602833487.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/8800812589.json,True,1,['1992'],['Epistulae Heroidum 1-3'],0
66,"https://explorer-api.opensyllabus.org/v1/works/7507602833476.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/9780140441888.json,False,0,0,,0
67,"https://explorer-api.opensyllabus.org/v1/works/63419487125163.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0521359848.json,False,0,0,,0
68,"https://explorer-api.opensyllabus.org/v1/works/47983374632260.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0852442378.json,False,0,0,,0
69,"https://explorer-api.opensyllabus.org/v1/works/42923903158004.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0826703429.json,False,0,0,,0
70,"https://explorer-api.opensyllabus.org/v1/works/7911330263053.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0486424626.json,False,0,0,,0
71,"https://explorer-api.opensyllabus.org/v1/works/7567732870714.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/9780472081240.json,False,0,0,,0
72,"https://explorer-api.opensyllabus.org/v1/works/8418136409562.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/9781315678627.json,False,0,0,,0
73,"https://explorer-api.opensyllabus.org/v1/works/54511724923445.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0500201382.json,False,0,0,,0
74,"https://explorer-api.opensyllabus.org/v1/works/51737176049783.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/9780310533412.json,False,0,0,,0
75,"https://explorer-api.opensyllabus.org/v1/works/7816841009583.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/9781840221442.json,True,1,['2004'],['Three Theban plays'],0
76,"https://explorer-api.opensyllabus.org/v1/works/8512625684870.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/9780140440607.json,False,0,0,,0
77,"https://explorer-api.opensyllabus.org/v1/works/37589553776214.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0192842021.json,False,0,0,,0
78,"https://explorer-api.opensyllabus.org/v1/works/58274116273649.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0198144865.json,False,0,0,,0
79,"https://explorer-api.opensyllabus.org/v1/works/40475771800458.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0880299851.json,False,0,0,,0
80,"https://explorer-api.opensyllabus.org/v1/works/9053791567988.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0520037049.json,True,1,['1978'],['Greek tragedy in action'],0
81,"https://explorer-api.opensyllabus.org/v1/works/47201690583352.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0199102058.json,True,2,['1977'],['An elementary Latin dictionary : with brief helps for Latin readers'],0
82,"https://explorer-api.opensyllabus.org/v1/works/51230369908294.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/9780310410409.json,True,1,['1994'],['The morphology of biblical Greek'],0
83,"https://explorer-api.opensyllabus.org/v1/works/46231027974410.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0310201756.json,False,0,0,,0
84,"https://explorer-api.opensyllabus.org/v1/works/52321291603023.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0691215898.json,False,0,0,,0
85,"https://explorer-api.opensyllabus.org/v1/works/50422916057944.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0310232295.json,False,0,0,,0
86,"https://explorer-api.opensyllabus.org/v1/works/49649821941864.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/9780199102068.json,True,2,['1889'],"[""An intermediate Greek-English lexicon : founded upon the seventh edition of Liddell and Scott's Greek-English lexicon""]",0
