,osurl,subject
108,"https://explorer-api.opensyllabus.org/v1/works/7507602833456.json
",Philosophy
109,"https://explorer-api.opensyllabus.org/v1/works/50783693309901.json
",Women and literature
110,"https://explorer-api.opensyllabus.org/v1/works/50783693309901.json
",Gender identity in literature.
111,"https://explorer-api.opensyllabus.org/v1/works/50783693309901.json
",Literature and society
112,"https://explorer-api.opensyllabus.org/v1/works/50783693309901.json
",Women in literature.
113,"https://explorer-api.opensyllabus.org/v1/works/50783693309901.json
",Greek literature
114,"https://explorer-api.opensyllabus.org/v1/works/54382875904275.json
","Vases, Red-figured"
115,"https://explorer-api.opensyllabus.org/v1/works/48653389530921.json
",Latin literature
116,"https://explorer-api.opensyllabus.org/v1/works/48653389530921.json
",Rome
117,"https://explorer-api.opensyllabus.org/v1/works/48653389530921.json
",Rome
118,"https://explorer-api.opensyllabus.org/v1/works/49804440766785.json
",Bible.
119,"https://explorer-api.opensyllabus.org/v1/works/49804440766785.json
","Greek language, Biblical"
120,"https://explorer-api.opensyllabus.org/v1/works/35072702941801.json
",Bible.
121,"https://explorer-api.opensyllabus.org/v1/works/35072702941801.json
","Greek language, Biblical"
122,"https://explorer-api.opensyllabus.org/v1/works/43980465113674.json
",Bible.
123,"https://explorer-api.opensyllabus.org/v1/works/43980465113674.json
","Greek language, Biblical"
124,"https://explorer-api.opensyllabus.org/v1/works/58188216928169.json
",Homer
125,"https://explorer-api.opensyllabus.org/v1/works/58188216928169.json
","Epic poetry, Greek"
126,"https://explorer-api.opensyllabus.org/v1/works/48739288877471.json
",Families
127,"https://explorer-api.opensyllabus.org/v1/works/60816736935781.json
","Plautus, Titus Maccius"
128,"https://explorer-api.opensyllabus.org/v1/works/7894150059305.json
",Theater
129,"https://explorer-api.opensyllabus.org/v1/works/7894150059305.json
",Greek drama
130,"https://explorer-api.opensyllabus.org/v1/works/7894150059305.json
",Theater
131,"https://explorer-api.opensyllabus.org/v1/works/52278341928242.json
","Vase-painting, Greek"
132,"https://explorer-api.opensyllabus.org/v1/works/52278341928242.json
",Vases
133,"https://explorer-api.opensyllabus.org/v1/works/52278341928242.json
","Pottery, Greek"
134,"https://explorer-api.opensyllabus.org/v1/works/7980049744886.json
",Euripides
135,"https://explorer-api.opensyllabus.org/v1/works/7980049744886.json
",Euripides
136,"https://explorer-api.opensyllabus.org/v1/works/7980049744886.json
",Sex in literature.
137,"https://explorer-api.opensyllabus.org/v1/works/7980049744886.json
",Women in literature.
138,"https://explorer-api.opensyllabus.org/v1/works/46093589023471.json
",Bible.
139,"https://explorer-api.opensyllabus.org/v1/works/46093589023471.json
","Greek language, Biblical"
140,"https://explorer-api.opensyllabus.org/v1/works/7507602833425.json
",Aeschylus
141,"https://explorer-api.opensyllabus.org/v1/works/52596169507272.json
",Ostia (Italy)
142,"https://explorer-api.opensyllabus.org/v1/works/54692113550406.json
",Editing.
143,"https://explorer-api.opensyllabus.org/v1/works/54692113550406.json
",Classical literature
144,"https://explorer-api.opensyllabus.org/v1/works/7988639178841.json
","Greek language, Modern"
145,"https://explorer-api.opensyllabus.org/v1/works/7988639178841.json
","Greek language, Medieval and late"
146,"https://explorer-api.opensyllabus.org/v1/works/7988639178841.json
",Greek language
147,"https://explorer-api.opensyllabus.org/v1/works/7988639178841.json
",Greece
148,"https://explorer-api.opensyllabus.org/v1/works/50483045599830.json
",Children
